service	group	source_provider
iommu_dev_disable_feature	translation	IOMMU
iommu_dev_enable_feature	translation	IOMMU
ubase_activate_dev	control	UBASE
ubase_adev_prealloc_supported	event	UBASE
ubase_adev_ubl_supported	event	UBASE
ubase_cmd_send_in	control	UBASE
ubase_cmd_send_inout	control	UBASE
ubase_comp_register	event	UBASE
ubase_comp_unregister	event	UBASE
ubase_ctrlq_register_crq_event	control	UBASE
ubase_ctrlq_send_msg	control	UBASE
ubase_ctrlq_unregister_crq_event	control	UBASE
ubase_deactivate_dev	control	UBASE
ubase_event_register	event	UBASE
ubase_event_unregister	event	UBASE
ubase_get_adev_qos	discovery	UBASE
ubase_get_bus_eid	discovery	UBASE
ubase_get_dev_caps	discovery	UBASE
ubase_get_mem_base	discovery	UBASE
ubase_get_ub_port_stats	event	UBASE
ubase_get_udma_caps	discovery	UBASE
ubase_hw_upgrade_ctx_ex	discovery	UBASE
ubase_port_register	event	UBASE
ubase_port_unregister	event	UBASE
ubase_register_crq_event	event	UBASE
ubase_reset_register	event	UBASE
ubase_reset_unregister	event	UBASE
ubase_unregister_crq_event	event	UBASE
ummu_core_add_eid	translation	UMMU
ummu_core_del_eid	translation	UMMU
ummu_core_invalidate_cfg_table	translation	UMMU
ummu_drain_pages	translation	UMMU
ummu_fill_pages	translation	UMMU
ummu_get_tid	translation	UMMU
ummu_ksva_bind_device	translation	UMMU
ummu_ksva_unbind_device	translation	UMMU
ummu_sva_bind_device	translation	UMMU
ummu_sva_grant_range	translation	UMMU
ummu_sva_unbind_device	translation	UMMU
ummu_sva_ungrant_range	translation	UMMU
